epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,2653.49,0.47241,0.38853,0.94418,0.98728,0.97625,0.9936,0.96011,0.27159,0.21347,0.78697,0.000944,0.000944,0.000944
18,2803.86,0.46804,0.38691,0.94393,0.98606,0.97908,0.99375,0.95951,0.27259,0.21278,0.78867,0.000878,0.000878,0.000878
19,2954.93,0.45872,0.3812,0.93976,0.98991,0.97476,0.99331,0.96391,0.25503,0.20324,0.78517,0.000812,0.000812,0.000812
20,3103.52,0.45442,0.37661,0.93704,0.98883,0.97775,0.99388,0.96379,0.2607,0.2002,0.7803,0.000746,0.000746,0.000746
21,3248.44,0.38289,0.29269,0.89317,0.98887,0.9804,0.99393,0.96617,0.27118,0.19946,0.78589,0.00068,0.00068,0.00068
22,3392.13,0.37771,0.28522,0.89434,0.98923,0.97903,0.99419,0.96646,0.26603,0.19386,0.77833,0.000614,0.000614,0.000614
23,3534.44,0.36703,0.27561,0.88598,0.99183,0.97633,0.99422,0.96832,0.25352,0.18812,0.77325,0.000548,0.000548,0.000548
24,3681.03,0.36707,0.26984,0.88887,0.98716,0.98298,0.99438,0.96872,0.25422,0.18514,0.77512,0.000482,0.000482,0.000482
25,3832.4,0.35777,0.26271,0.88118,0.99073,0.97879,0.99435,0.96915,0.25064,0.18251,0.77049,0.000416,0.000416,0.000416
26,3984.83,0.35612,0.25985,0.88385,0.99019,0.98186,0.99444,0.96792,0.25232,0.17868,0.77141,0.00035,0.00035,0.00035
27,4135.21,0.35019,0.25277,0.88219,0.9903,0.98317,0.99449,0.97197,0.2459,0.17405,0.76806,0.000284,0.000284,0.000284
28,4282.25,0.33931,0.24372,0.8725,0.99103,0.98242,0.99455,0.97266,0.2419,0.16876,0.76944,0.000218,0.000218,0.000218
29,4430.34,0.33704,0.23741,0.87645,0.993,0.98203,0.99463,0.97381,0.23547,0.1634,0.76573,0.000152,0.000152,0.000152
30,4576.1,0.33447,0.23357,0.87182,0.99292,0.97999,0.99457,0.97423,0.2353,0.16139,0.76448,8.6e-05,8.6e-05,8.6e-05
